Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
GO AUTOMATION MAROC, import-export materiel et fournitures de tampographie et serigraphie, Bd Ben Tachfine Hakam 3 Rue 2 N 22,Casablanca,33.591606 : -7.585802, 116029,Tribunal de Casablanca, 000079428000017,Societe a Responsabilite Limitee, 100 000 
SELMA DE CONSTRUCTION GENERALE (ETS), entrepreneur en construction, Lotissement Targua Immeuble Des Habous Magasin N10,Marrakech,31.634407232 : -8.051110455, 6707,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 150 000 
IDEAL CONFECTION (STE)," achat, prise en location, exploitation, gerance de tous ateliers de confection, lingerie, linge de maison", 21 Et 23 Rue Du Musee,Casablanca,33.596457 : -7.615478, 14515,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 120 000 
OUJDA CREDIT, effectuant operation d'avances ou de prets, Rue El Madina El Mounaouara Imm Falallaki,Oujda-Angad,34.685473 : -1.914854, 14115,Tribunal de Oujda,,Societe a Responsabilite Limitee, 200 000 
BENABDERRAHMANE SAD ET MOHAMMED (STE) (SOBAN)," marchand droguiste en detail, entrepreneur de travaux divers", 48 Lot Rachidia Hay Saada,Fes,34.0249046417 : -5.00723618211, 18197,Tribunal de Fes,,Societe en Nom Collectif, 100 000 
LECOMTE ET VERDIER (STE), commission et courtage import export, 299 Boulevard De La Gare,Casablanca,33.58694440000001 : -7.6111111000000164, 4133,Tribunal de Casablanca,,Societe en Nom Collectif, 50 000 
FEDALA RECLIM, exploitant un atelier de montage et reparation des frigos et des climatiseurs, Riad 2 Lot N262 El Alia,Mohammedia,33.6833333 : -7.383333300000004, 293,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 10 000 
IMMOBILIERE CHERIFIENNE (STE), acquisition vente lotissement et exploitation de tous terrains immeubles et proprietes, 7 Passage Sumica,Casablanca,33.58694440000001 : -7.6111111000000164, 16871,Tribunal de Casablanca,,Societe Anonyme, 5 000 
SUD BUILDING (STE CIVILE IMMOBILIERE), l'acquisition d'un terrain l'exploitation sur le terrain d'un immeuble a usage d'habitation commerce et bureaux toutes les operations civiles..., Immeuble Esnouet Rue Paul Doumer,Agadir-Ida Ou Tanane,30.423319 : -9.606395, 2899,Tribunal de Marrakech,,Societe Anonyme, 76 980 
MAROCAINE D'ETUDE DE TRAVAUX ET CONSTRUCTIONS MODERNES, ste d'etudes de dtravaux et de constructions modernes, 29 Rue 6 Andalous I,Casablanca,33.567932 : -7.584805, 41929,Tribunal de Casablanca,,Societe Anonyme, 100 000 
BATIMENT AL WATYA," construction, batiment, assainissement et fourniture", 43 Rue Tanalt Hay La Grande Mosquee,Tan-Tan,28.433607 : -11.100755, 217,Tribunal de Tantan,,Societe Anonyme, 100 000 
STE IMMOBILIERE WOUROUD, promoteur immobiliere, 6 Rue Jamal Eddin Al Afhani,Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 4101,Tribunal de Tanger, 001660570000047,Societe a Responsabilite Limitee, 4 600 000 
CHOFFI BENKIRANE TRANSPORT TRANSIT, trnasitaire, 80 Rue Dr Roux,Casablanca,33.60304 : -7.57933, 52947,Tribunal de Casablanca,,Societe Anonyme, 100 000 
