Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
TANGER SAT," vente, installation et entretien d'antennes/ import export", Angle Prince Her.&moussa B.noussair N 28,Tanger-Assilah,35.77881 : -5.8112, 19695,Tribunal de Tanger, 001451925000090,Societe en Nom Collectif, 100 000 
MANNESMANN MAROC (STE)," fabrication, achat, vente tous appareils destines a l'irrigation ainsi qu'a l'utilisation des eaux en general, fabrication montage, commerce...", 123 Bd Rahal El Meskini,Casablanca,33.588255 : -7.611935, 10901,Tribunal de Casablanca,,Societe Anonyme, 500 000 
MAGHREB (MINIERE DU) (SOMIMAG), exploitation et recherches minieres, 61 Avenue Des Far,Casablanca,33.57356 : -7.55212, 28049,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
BOAZIN," la societe a pour objet tant au maroc qu'a l'etranger : la promotion immobiliere, la decoration l'architecture et urbanisme la realisation de tous genre de travaux divers de construction, de batiment, l'achat, le vente la representation le negoce, le commerce en general de toute nature. et plus generalement toutes operations industrielles, commerciales, financieres, mobilieres se rattachant directement ou indirectement en totalite ou en partie a l'objet social"," 38 Av, 16 Novembre Appt N 3 Agdal",Agdal Riyad (AR),33.989385 : -6.85075, 67469,Tribunal de Rabat, 000043210000046,Societe a Responsabilite Limitee, 10 000 
GHITAHAMD, promotion immobiliere, 50 Bd Abdelkrim El Khatabi,Casablanca,33.584445 : -7.65595, 140043,Tribunal de Casablanca, 001338500000081,Societe a Responsabilite Limitee, 200 000 
MAKDAD ET CONSORTS (STE), entreprise de travaux publics ou prives construction et terrassement, Caid Bel Aroussi,Sale,34.037053 : -6.817093, 23452,Tribunal de Rabat,,Societe en Nom Collectif, 120 000 
MAROC (TRAVAUX ET COMMERCIALISATION DU) (TRACOMA), entrepreneur de travaux divers, 50 Avenue Du Chellah,Rabat,34.01676 : -6.827804, 25351,Tribunal de Rabat,,Societe Anonyme, 30 000 
DABITEX (DABITEX), confection import-export, Dar Touzani Rue 1 N69-71,Casablanca,33.555338 : -7.581561, 58259,Tribunal de Casablanca,,Societe Anonyme, 100 000 
PROJET DEVELOPPEMENT MAINTENANCE EN INFORMATIQUE (PDM)," promotion de materiel projet developpement, maintenance, informatique", 6 Rue Gardane Oasis,Casablanca,33.56128 : -7.634735, 54049,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
INDUSTRIELLE DE CONSERVATION AGRICOLE (STE) (IDUSCOA), toutes operations concernant les fruits et produits derives au sous produits, 37 Rue Emile Brunet,Casablanca,33.58144 : -7.57705, 14967,Tribunal de Casablanca,,Societe Anonyme, 400 000 
MOROCCO TRADING COMPANY (STE)," import-export, affretement consignation", 300 Rue Mustapha El Maani,Casablanca,33.58694440000001 : -7.6111111000000164, 28909,Tribunal de Casablanca,,Societe Anonyme, 10 000 
AL BARAKA LOGEMENTS," - marchand de bien terrains ou autres. - l'entreprise de construction de batiments et travaux divers. - la promotion immobiliere. - la realisation des operations de lotissement de terrain de construction, de batiment a usage commercial, industriel ou administratif en vue de la vente, la location ou de sa propre utilisation - la prise de participation, l'acquisition, la vente, la gestion de toutes entreprises ou societes ayant un objet similaire ou connexe. - et plus generalement, toutes operations industrielles, commerciales, financieres, mobilieres ou immobilieres se rattachant directement aux objet ci-dessus ou susceptibles d'en favoriser le developpement de la societe.", Jnan Sanhaji Hay Touilaa Ndeg 24/23,Tetouan (M),35.57621 : -5.368434999999977, 7135,Tribunal de Tetouan, 001534937000048,Societe a Responsabilite Limitee, 100 000 
BRAU MATIA MOBILIER (STE), fabrication et commercialisation du mobilier et construction, Bloc F N333 Ouled Oujih,Kenitra,34.257394 : -6.590154, 26791,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 100 000 
MOULINS MODERNES, fabrication et vente des farines, 87 Rue Bachir El Ibrahimi Rue Des Quinconces,Casablanca,33.58694440000001 : -7.6111111000000164, 1217,Tribunal de Casablanca,,Societe Anonyme, 35 000 000 
ALCISA MAGHREB (STE)," ceramique, fabrication de produits et transformation de matiere, fabrication de briques", Route Oued Laou Km 4,Tetouan,35.572464 : -5.375723, 1451,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 2 500 000 
KADI TRAVAUX DE CONSTRUCTION ET DE TRAVAUX PUBLICS (STE) (KADITRA)," entreprise generale des etudes et travaux de construction, de genie-civil, de batiment et travaux divers", Place Dcheira Quartier Essalam Pres De Banque P Rue 43,Laayoune,27.151712 : -13.199184, 835,Tribunal de Laayoune,,Societe Anonyme, 120 000 
EURAFRICAINE DE GESTION," l'achat, la vente, l'echange de tous biens mobiliers et immobiliers", 69 Rue Mohamed Smiha,Casablanca,33.58694440000001 : -7.6111111000000164, 27127,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000 
SOCIETE D'INDUSTRIE DE COMMERCE D'ENGRAIS ET DE PRODUITS AGRICOLES (SICEPA)," commercialisation, fabricant de conserves alimentaires, marchand de fruits et legumes secs en gros, marchand de graines en gros, le transport routier de marchandises en tous genres pour le compte de la ste ou pour le compte d'autrui", Lot 70-71 Quartier Industriel Bensouda Fes Banlieue,Fes-Medina (AR),34.00714 : -5.052033, 16435,Tribunal de Fes, 001540191000004,Societe a Responsabilite Limitee, 17 500 000 
ABM DISTRIBUTION, distribution de produits alimentaires, 7 Rue 1 Route Benkarrich,Tetouan,35.591034 : -5.336916, 7047,Tribunal de Tetouan, 001540685000052,Societe a Responsabilite Limitee a Associe Unique, 2 000 000 
TECHNICS DISTRIBUTIONS," * la realisation et l'exploitation d'unites industrielles pour, la fabrication, le montage de tous types de materiel de traitement de l'eau ; * le negoce l'importation, l'exportation et le commerce en general de tous les articles, produits ou marchandises, fabriques par la societe, ou par des tiers sous traitant ou importes et notamment le materiel de traitement de l'eau, tout materiel rattache a la confection et textile et tout materiel de telesurveillance et de protection ; * la realisation de toutes etudes, conceptions ainsi que tous plans d'amenagement decoratif, * l'acquisition, l'achat, l'importation de tous materiels, outillages, accessoires, matieres premieres, fournitures et generalement tous produits necessaires a la realisation de l'un des objets precites ; * et plus generalement, toutes operations techniques, commerciales, industrielles, mobilieres, immobilieres et financieres se rattachant directement ou indirectement aux objets precites, ou a tous autres objets similaires", 22 Rue Banafsaj Beausejour,Casablanca,33.566414 : -7.647724, 162949,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
AUBERGE M'HAMID EL KHAIMA," hebergement, restauration, randonnees", ***,Ouarzazate,30.919091 : -6.903823, 167,Tribunal de Zagora,,Societe a Responsabilite Limitee, 100 000 
ZAOUDI COM, negoce en general et import export," Rue Chateau D'eau, Ndeg 28",Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 26621,Tribunal de Tanger, 001452362000028,Societe en Nom Collectif, 100 000 
