Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
LEENA (STE) (LEENA), commerce en general de tous vetement (suivant details dans statuts), 8 Rue Lieutenant Berger,Casablanca,33.58874 : -7.61986, 36763,Tribunal de Casablanca,,Societe Anonyme, 10 000 
BEN AMI ARTISANAL, marchand effectuant import-export, Avenue Des Far Rue Ilyas Ibn Mouaouia N103,Fes,34.0411 : -5.01316, 17265,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
GESTION D'ETUDES DE TRAVAUX PUBLICS ET DE BATIMENT (STE DE) (SOGETRABA), gestion de toutes affaires et ese immobilieres et de construction etude de tous programmes de travaux publics ou prives..., 34 Bd De Marseille,Casablanca,33.601844 : -7.630466, 26691,Tribunal de Casablanca,,Societe Anonyme, 200 000 
IDHALI (IDHALI), exploitation carrieres commerce materiaux de construction entrepreneur de travaux de construction, Km 3 Route D'agadir,Tiznit,29.689059 : -9.710638, 487,Tribunal de Agadir, 001560621000033,Societe a Responsabilite Limitee, 7 000 000 
CASTILLO IMPEX, import export, Hay Mly Rachid Bloc 1 N 135,Laayoune,27.158503 : -13.207882, 5295,Tribunal de Laayoune,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
EASY SOFT DRINKS, import-export, 40 Bd Mohamed V Bloc A Appt N4,Tanger-Assilah,35.470135 : -6.029685, 27547,Tribunal de Tanger, 000226423000004,Societe a Responsabilite Limitee a Associe Unique, 100 000 
TRANSAFRICAINE DE TRANSIT ET DE MENAGEMENTS (STE) (STD)," toutes operations de demenagement garos meubles toutes operations de transports et exploitation d'agence de voyages, operations de transit", 20 Rue Mansard,Casablanca,33.580635 : -7.628141, 28673,Tribunal de Casablanca,,Societe Anonyme, 50 000 
BAKALI AHMED TRANS," la societe a pour objet principal : - l'entreprise generale de transports nationaux et internationaux de marchandises, affretements, groupage et camionnage de toute nature, sous toutes formes et par tous moyens, ainsi que toutes operations s'y rattachant directement. - l'exercice de la profession de commissionnaire en transport de marchandise. - la manutention et la manipulation de tous produits, engins et vehicules, le depotage et l'empotage des camions et des containers, le transbordement de tous genres de produits, d'articles, de marchandises ainsi que le chargement et le dechargement de toutes sortes de navires, de chalutiers, l'approvisionnement des navires de vivres, produits d'entretien, de pieces de rechange, de combustible, de lubrifiant, de fuel et tous les articles demandes par ces navires quels que soient leur specialisation (navires de guerre, yacht, paquebots, butaniers, etc ...) - la consignation de marchandises, des navires, des camions, des remorques et des voitures. -", Bouhout 2 Rue 77 Ndeg37 Etage 2,Tanger-Medina (AR),35.746434 : -5.808113, 32991,Tribunal de Tanger, 000099642000058,Societe a Responsabilite Limitee a Associe Unique, 120 000 
MARRAKECH (HOTELIERE LE), exploitation de tous hotels auberge restaurant etc, Rond Point De La Liberte,Sale,34.0456478 : -6.8024781, 4133,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 640 000 
MAROCAINE DE MATERIEL SCOLARE D'ENSEIGNEMENT ET DE BUREAU (COMPTOIR) (COMASEB), marchand importateur, 3 Rue Imam El Ouzai Bd Yacoub El Mansour,Casablanca,33.576753 : -7.640642, 48487,Tribunal de Casablanca,,Societe Anonyme, 100 000 
MEDPAR HOLDING, gestion toutes valeurs mobilieres., Circuit Touristique De La Palmeraie Boite Postale 1488,Marrakech-Medina (AR),31.624961 : -7.992414, 10947,Tribunal de Marrakech, 000535323000055,Societe Anonyme, 300 000 
ARTENOVA (ARTENOVA)," marchand effectuant importation exportation - achat, vente, fabrication, commercialisation tous objet d'art d'ameublement, et de decor."," 80 Bis, Boulevard Zerktouni",Casablanca,33.582695 : -7.6186, 54347,Tribunal de Casablanca, 001657992000007,Societe a Responsabilite Limitee a Associe Unique, 100 000 
3A TELECOMMUNICATION, vente de machines de bureau, 14bis Rue Hassane Hay El Hana,Casablanca,33.576911 : -7.661817, 92177,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 120 000 
MSB TRANSPORT," le transport national et international de toutes marchandises, le transport frigorifique national et international, le transport routier de marchandises, d'objet et de biens de toute nature le transport international, transport toute categorie, terrestre ferroviaire aerien et maritime, transport pub", Bd Med El Yazidi El Marsa,Laayoune (M),27.093363 : -13.411827, 6113,Tribunal de Laayoune,,Societe a Responsabilite Limitee, 500 000 
SORBAMA (STE) (SORBAMA), legumineuses, 11 Rue De Suippe,Casablanca,33.5852 : -7.614355, 35755,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
SADOUK D'APPLICATION DES FORCES ET LUMIERES ELECTRIQUES (ESE) (ESAFLE), entrepreneur de tous travaux electriques, Hay El Osra 1 Rue 21 Lot 375,Casablanca,33.535741498 : -7.58293346779, 44379,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
SPRING," commerce de cycle, motocycle et automobile, industrie en dependant", 67 Bd De La Resistance Francaise,Casablanca,33.586055 : -7.605625, 14739,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 000 000 
ARTICLES CAOUTCHOUC, marchand articles confectionne-caoutchouc, 137 Rue 3 Sidi Bernoussi,Casablanca,33.610869 : -7.504093, 69843,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
KAWKAB DAHABI (STE)," le commerce de l'or, des bijoux, de l'orfevrerie en general", 47 Rue De Fes,Casablanca,33.597781 : -7.617066, 29623,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 60 000 
ESSAADA MASSIRA (DROGUERIE), marchand droguiste en detail, 350 Amal 4 Est,Rabat,34.015049 : -6.832719999999995, 45311,Tribunal de Rabat,,Societe a Responsabilite Limitee, 200 000 
SOCIETE LES JEUX ELECTRONIQUES TARIK, import et export des jeux, Hay Boughaz Rue My Tahar Ben Abd El Karim,Tanger-Assilah,35.76114 : -5.816099, 9897,Tribunal de Tanger, 001842836000063,Societe a Responsabilite Limitee, 100 000 
MUGHAMRAT, loueur de machines de bureau (comptables developpement et recherche informatiques) md importateur et exportateur," Villa 4, Residence Aui, Route D'el Hajeb",Ifrane (M),33.504241 : -5.09126, 26865,Tribunal de Meknes, 001699789000083,Societe a Responsabilite Limitee, 700 000 
LOTFIBAT, construction de batiment et genie civil vente de matiere de construction, Dr Laghnadra Commune Haouizia,El-Jadida,33.302192 : -8.355605, 3925,Tribunal de Eljadida, 000069006000014,Societe a Responsabilite Limitee a Associe Unique, 100 000 
CONSTRUCTION GENERALE ET VENTES (L'ESE DE) (ECGV), entrepreneur de travaux divers ou constructions, Av Des Far Immeuble Khilaji N19,Mohammedia,33.699335 : -7.389384, 1663,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 100 000 
VAMIMI MAROC, fabricant appareils ou pieces de prothese dentaire, 22 Av De Fes,Sale,34.032316 : -6.826218, 427,Tribunal de Sale,,Societe Anonyme, 10 000 
DOURAS ET HAMILEDDINE (ESE DE CONSTRUCTION), entreprise des travaux divers, 52 Rue De Berrechid,Settat,33 : -7.616666699999996, 505,Tribunal de Settat,,Societe a Responsabilite Limitee, 10 000 
BRONX MAROC, fabrication et vente des joints en tous genre pour automobile et industrie, 37 Bd De Boured,Casablanca,33.59882 : -7.58554, 41013,Tribunal de Casablanca,,Societe Anonyme, 15 000 
EURAFRICAINE DES BOIS (STE)," import export, commerce des bois en genral", 4 Rue Clemenceau,Casablanca,33.593122 : -7.615238, 23735,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 25 000 
